#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
ALDH1L1	10840	7	7	-	-	600249
ALDH1L1-AS1	100874204	6	6	-	-	-
ALDH1L1-AS2	100862662	7	7	-	-	-
ALDH1L2	160428	4	4	-	-	613584
ALDH2	217	9	5	5	1	100650
ALDH3A1	218	55	55	-	-	100660
ALDH3A2	224	71	71	17	16	609523
ALDH3B1	221	2	2	-	-	600466
ALDH3B2	222	8	8	-	-	601917
ALDH4A1	8659	9	9	3	3	606811
ALDH5A1	7915	14	14	8	6	610045
ALDH6A1	4329	12	12	5	5	603178
ALDH7A1	501	93	91	82	20	107323
ALDH8A1	64577	2	2	-	-	606467
ALDH9A1	223	11	11	1	-	602733
ALDOA	226	120	120	2	2	103850
ALDOB	229	42	42	22	21	612724
ALDOC	230	1	1	-	-	103870
ALG1	56052	36	35	27	12	605907
ALG10	84920	14	14	1	-	603313
ALG10B	144245	2	2	-	-	-
ALG11	440138	42	42	12	6	613666
ALG12	79087	66	66	17	6	607144
ALG13	79868	84	84	5	3	300776
ALG14	199857	4	4	2	2	612866
ALG1L	200810	5	5	-	-	-
ALG1L2	644974	8	8	-	-	-
ALG2	85365	28	28	9	4	607905
ALG3	10195	28	28	6	5	608750
ALG5	29880	25	25	-	1	604565
ALG6	29929	29	28	19	7	604566
ALG8	79053	17	17	14	7	608103
ALG9	79796	11	11	9	3	606941
ALK	238	47	47	4	8	105590
ALKBH1	8846	10	10	-	-	605345
ALKBH2	121642	4	4	-	-	610602
ALKBH3	221120	9	9	-	-	610603
ALKBH3-AS1	100507300	9	9	-	-	-
ALKBH4	54784	9	9	-	-	613302
ALKBH5	54890	65	65	-	-	613303
ALKBH6	84964	3	3	-	-	613304
ALKBH7	84266	6	6	-	-	613305
ALKBH8	91801	3	3	-	-	613306
ALLC	55821	20	20	-	-	612396
ALMS1	7840	48	48	40	18	606844
ALMS1-IT1	100874291	3	3	-	-	-
ALOX12	239	12	12	-	-	152391
ALOX12-AS1	100506713	12	12	-	-	-
ALOX12B	242	21	21	13	13	603741
ALOX15	246	18	18	-	-	152392
ALOX15B	247	8	8	-	-	603697
ALOX5	240	11	10	2	-	152390
ALOX5AP	241	23	23	-	-	603700
ALOXE3	59344	16	16	8	7	607206
ALPI	248	18	18	-	-	171740
ALPK1	80216	3	3	-	-	607347
ALPK2	115701	33	33	-	-	-
ALPK3	57538	14	14	-	-	-
ALPL	249	55	42	50	31	171760
ALPP	250	22	20	4	-	171800
ALPPL2	251	18	18	-	-	171810
ALS2	57679	39	38	17	21	606352
ALS2CL	259173	1	1	-	-	612402
ALS2CR11	151254	18	18	-	1	-
ALS2CR12	130540	16	16	-	-	-
ALX1	8092	6	6	1	1	601527
ALX3	257	13	13	7	7	606014
ALX4	60529	25	25	14	12	605420
ALYREF	10189	12	12	-	-	604171
AMACR	23600	19	18	8	3	604489
AMBN	258	10	10	1	1	601259
AMBP	259	15	15	-	-	176870
AMBRA1	55626	6	6	-	-	611359
AMD1	262	9	9	-	-	180980
AMDHD1	144193	2	2	-	-	-
AMDHD2	51005	13	13	-	-	-
AMELX	265	110	110	13	13	300391
AMELY	266	36	36	-	-	410000
AMER1	139285	92	92	8	8	300647
AMER2	219287	16	16	-	-	614659
AMER3	205147	10	10	-	-	-
AMFR	267	4	4	-	-	603243
AMH	268	14	14	4	4	600957
AMHR2	269	9	9	4	4	600956
AMICA1	120425	9	9	-	-	609770
AMIGO1	57463	6	6	-	-	615689
AMIGO2	347902	1	1	-	-	615690
AMIGO3	386724	2	2	-	-	615691
AMMECR1	9949	83	83	-	-	300195
